id,user_id,month,source,total_value,created_at,updated_at
22e16629-0427-4110-bab1-2d67879f60cb,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Go On Outdoor,4000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
c5530ae9-3fea-4561-bf52-d755f1695159,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Global Vita,5926.8,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
dfd5faa5-a72b-427e-81ac-7cef287768c7,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Rumo Fitness,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
0d201def-ab93-48a6-b24f-f9b029beedc4,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Future Fitness,2000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
9765f474-c878-4406-8335-aedb6cafd522,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Brasilio Wille,600,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
190d9c03-a7b4-43e1-b3d6-9fdd54262d86,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Cabana Cedro,500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
92968d4c-f19e-405a-a37e-668a7f2f3864,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Hotmart Go On,1508,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
5ced52d4-4704-4527-825c-bc38f104e25b,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-06-01,Stripe/assinaturas,189.67,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
c6d52b12-ffad-4b19-b8db-f57c44906e68,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Go On Outdoor,5000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
170b58cd-c21b-4dea-9248-c0b51782f9a0,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Global Vita,4500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
081ccaa4-76c4-43e8-9701-097b511902d4,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Rumo Fitness,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
a7215d6e-6e09-4c86-b151-d6d2ab4af8fe,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Future Fitness,2000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
d96fc05e-3db6-4026-ac1b-94d31182b9e0,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Brasilio Wille,600,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
2256029f-dab6-4136-b5eb-8dd1a64053ce,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Cabana Cedro,500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
fb4f4822-41ba-4ec9-9a45-490e3ea32d55,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Hotmart Go On,533,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
b3e9d409-5ef3-41e0-9851-83f941f71d1f,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-07-01,Stripe/assinaturas,189.67,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
c5ab6b19-a7c4-45c7-aaae-495e87683977,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-08-01,Go On Outdoor,5000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
dd2a63c8-d781-4cfc-b63b-db729f9eecfc,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-08-01,Global Vita,4700,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
c606ddf1-e837-4177-ada2-b5db9da1e77f,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-08-01,Rumo Fitness,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
beda35fd-e6d6-4628-9efe-7c88aaf0baf2,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-08-01,Future Fitness,2000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
05f955f4-d226-44df-8324-4ddb5f31fa43,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-08-01,Brasilio Wille,600,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
1ffb0cc2-72ff-456a-add7-913a8ac60e49,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-08-01,Stripe/assinaturas,189.67,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
f7eb66b9-498f-4aa3-8202-19da7e7d276c,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-09-01,Go On Outdoor,5000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
8a77d0c7-7c6e-4da5-8c4e-cf71e1eae5bf,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-09-01,Global Vita,4500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
48f80075-d350-414a-b153-8caa3370a6e0,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-09-01,Rumo Fitness,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
7d0fbedb-901b-4eba-a3ab-1f45e6d5135e,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-09-01,Future Fitness,2000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
52be9baf-ebd8-4c87-9210-324f85ba4f3a,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-09-01,Brasilio Wille,600,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
272c1c83-1162-4885-97ca-f3bb1cd16f86,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-09-01,Stripe/assinaturas,189.67,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
5f3b2852-cb32-40dd-bcc6-3c7b08fe60b7,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-10-01,Go On Outdoor,5000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
875d62b0-3a7f-4c90-aaa6-75756049387b,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-10-01,Global Vita,4500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
1c9253b1-4b5d-4a98-9440-393547126752,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-10-01,Rumo Fitness,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
1406763d-eae7-40bf-a93b-88461e475b48,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-10-01,Future Fitness,2000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
dd3eb09d-885d-4bea-bee5-1fbf0265ee56,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-10-01,Brasilio Wille,600,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
fd504bfa-6272-4543-9583-b24da8dd168b,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-10-01,Stripe/assinaturas,189.67,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
487f5c20-7153-4c35-aad4-c63e04a9c0a5,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-11-01,Go On Outdoor,6000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
d30b8e39-45a3-4103-a8e4-0f7171c5c15d,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-11-01,Global Vita,8000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
347c02dd-bc2f-4c49-b071-f4de63793c1f,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-11-01,Rumo Fitness,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
b44802bc-561d-4c4d-86dc-0c3a191c9598,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-11-01,Future Fitness,2000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
c9c3cbfc-ec90-4446-bf6a-ed494c3034d9,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-11-01,Brasilio Wille,600,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
58f58eb5-6aba-4dd7-90c3-071cdbfd29b2,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-11-01,Stripe/assinaturas,189.67,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
2e6287d8-35e1-4bd6-8e7f-37b4d02412ed,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-11-01,Outras receitas,350,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
e3282318-6278-48db-97cd-dcdf13c81166,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-12-01,Go On Outdoor,7000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
8ee46c02-ff6c-4d0a-b266-f58b06067aa0,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-12-01,Global Vita,12500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
b8d49723-bbfc-49d4-841e-88b3c1d4965f,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-12-01,Rumo Fitness,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
ceafa4d2-3dde-4824-8d74-4d5579e957b2,a3b12ed2-9440-40d9-9293-3c20e778dd74,2024-12-01,Future Fitness,2000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
841e9f58-46b9-4cbf-a1dd-a9a0c718bf5c,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-01-01,Go On Outdoor,7000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
22cd048b-09a4-48e1-9359-7195fd6060c8,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-01-01,Global Vita,17000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
56c21ac2-d153-45b7-857f-592d02027a78,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-01-01,Rumo Fitness,1500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
f7b0acf7-1ede-4720-87f5-6cd277075518,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-01-01,Future Fitness,2000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
13e4494b-7ff9-470d-a561-9ea77f3a6ab2,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-01-01,Halterego,1500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
602aa9f3-0e9f-40f9-a9ec-5eee519f7d40,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-01-01,Outras receitas,15,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
ad3fb6af-6272-4168-b0f0-856507c2b297,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-02-01,Go On Outdoor,9000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
da397c47-fa83-4c2e-a9b8-303c73310788,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-02-01,Global Vita,4500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
a267ccef-c79e-4ead-ba15-62d435a822a0,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-02-01,Halterego,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
e765ae18-391d-4c85-8229-2f179219ef1e,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-02-01,Outras receitas,3437.41,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
8b85e772-b504-4a85-a1de-b2c88f15fc5a,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-03-01,Go On Outdoor,10000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
b144d96c-aa22-42bc-9560-ed67a44a0c05,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-03-01,Global Vita,4500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
db160383-afa9-492d-9a77-9a24b8cfbaa0,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-03-01,Halterego,3000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
653affe3-2fee-44a4-982e-cd4bd08ef152,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-03-01,Outras receitas,1500,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
979c334c-3050-439d-a1d2-0c20073e49ff,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-04-01,Go On Outdoor,10000,2025-05-31 14:51:38.076007+00,2025-05-31 14:51:38.076007+00
